UID;Molecular Formula
1202;C$_{33}$H$_{19}$
1203;C$_{33}$H$_{19}$
1204;C$_{33}$H$_{19}$
1205;C$_{33}$H$_{19}$
1206;C$_{33}$H$_{19}$
1207;C$_{33}$H$_{19}$
1208;C$_{33}$H$_{19}$
1209;C$_{33}$H$_{19}$
1210;C$_{33}$H$_{19}$
1211;C$_{33}$H$_{19}$
1212;C$_{33}$H$_{19}$
1213;C$_{33}$H$_{19}$
1214;C$_{33}$H$_{19}$
1215;C$_{33}$H$_{19}$
1216;C$_{33}$H$_{19}$
1217;C$_{33}$H$_{19}$
1218;C$_{33}$H$_{19}$
1219;C$_{33}$H$_{19}$
1220;C$_{33}$H$_{19}$
1221;C$_{33}$H$_{19}$
1222;C$_{33}$H$_{19}$
1223;C$_{33}$H$_{19}$
1224;C$_{33}$H$_{19}$
1225;C$_{33}$H$_{19}$
1226;C$_{33}$H$_{19}$
1227;C$_{33}$H$_{19}$
1228;C$_{33}$H$_{19}$
1229;C$_{33}$H$_{19}$
1230;C$_{33}$H$_{19}$
1231;C$_{33}$H$_{19}$
1232;C$_{33}$H$_{19}$
1233;C$_{33}$H$_{19}$
1234;C$_{33}$H$_{19}$
1235;C$_{33}$H$_{19}$
1236;C$_{33}$H$_{19}$
1237;C$_{33}$H$_{19}$
1238;C$_{33}$H$_{19}$
1239;C$_{33}$H$_{19}$
1240;C$_{33}$H$_{19}$
1241;C$_{33}$H$_{19}$
1242;C$_{33}$H$_{19}$
